base_airflow_m3_s,maximum_airflow_m3_s,temperature_gain_m3_s_per_K,co2_gain_m3_s_per_ppm,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note,feasible
10,70,6,0.04,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,6,0.06,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,6,0.08,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,8,0.0,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,8,0.02,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,8,0.04,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,8,0.06,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,70,8,0.08,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,0,0.0,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,0,0.02,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,0,0.04,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,0,0.06,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,0,0.08,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,2,0.0,baseline,29.586098008210058,28.34148102307705,25.88560861330535,600.0,492.49496958147813,2.8360570521617774,13.782613269216059,25.0,1.6682130704161724,10.55,59.730932082731805,2817.5,1132.5,0.0,0.0,15111.230642671671,15292.379095470611,2.786947852322067,3.82850368589335,6.944444444444445,53954,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,2,0.02,baseline,29.586098008210058,28.34148102307705,25.88560861330535,600.0,492.49496958147813,2.8360570521617774,13.782613269216059,25.0,1.6682130704161724,10.55,59.730932082731805,2817.5,1132.5,0.0,0.0,15111.230642671671,15292.379095470611,2.786947852322067,3.82850368589335,6.944444444444445,53954,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,2,0.04,baseline,29.586098008210058,28.34148102307705,25.88560861330535,600.0,492.49496958147813,2.8360570521617774,13.782613269216059,25.0,1.6682130704161724,10.55,59.730932082731805,2817.5,1132.5,0.0,0.0,15111.230642671671,15292.379095470611,2.786947852322067,3.82850368589335,6.944444444444445,53954,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,2,0.06,baseline,29.586098008210058,28.34148102307705,25.88560861330535,600.0,492.49496958147813,2.8360570521617774,13.782613269216059,25.0,1.6682130704161724,10.55,59.730932082731805,2817.5,1132.5,0.0,0.0,15111.230642671671,15292.379095470611,2.786947852322067,3.82850368589335,6.944444444444445,53954,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,2,0.08,baseline,29.586098008210058,28.34148102307705,25.88560861330535,600.0,492.49496958147813,2.8360570521617774,13.782613269216059,25.0,1.6682130704161724,10.55,59.730932082731805,2817.5,1132.5,0.0,0.0,15111.230642671671,15292.379095470611,2.786947852322067,3.82850368589335,6.944444444444445,53954,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,4,0.0,baseline,29.67050426403415,28.414627148909275,25.89392647454605,600.0,484.6300277661977,2.7770407226198586,17.729729287531057,25.0,3.8216792096108723,10.55,59.730932082731805,2897.5,1262.5,0.0,0.0,15107.02356897728,15292.379095470611,2.787807715408517,4.924924802091961,6.944444444444445,51524,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,4,0.02,baseline,29.67050426403415,28.414627148909275,25.89392647454605,600.0,484.6300277661977,2.7770407226198586,17.729729287531057,25.0,3.8216792096108723,10.55,59.730932082731805,2897.5,1262.5,0.0,0.0,15107.02356897728,15292.379095470611,2.787807715408517,4.924924802091961,6.944444444444445,51524,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,4,0.04,baseline,29.67050426403415,28.414627148909275,25.89392647454605,600.0,484.6300277661977,2.7770407226198586,17.729729287531057,25.0,3.8216792096108723,10.55,59.730932082731805,2897.5,1262.5,0.0,0.0,15107.02356897728,15292.379095470611,2.787807715408517,4.924924802091961,6.944444444444445,51524,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,4,0.06,baseline,29.67050426403415,28.414627148909275,25.89392647454605,600.0,484.6300277661977,2.7770407226198586,17.729729287531057,25.0,3.8216792096108723,10.55,59.730932082731805,2897.5,1262.5,0.0,0.0,15107.02356897728,15292.379095470611,2.787807715408517,4.924924802091961,6.944444444444445,51524,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,4,0.08,baseline,29.67050426403415,28.414627148909275,25.89392647454605,600.0,484.6300277661977,2.7770407226198586,17.729729287531057,25.0,3.8216792096108723,10.55,59.730932082731805,2897.5,1262.5,0.0,0.0,15107.02356897728,15292.379095470611,2.787807715408517,4.924924802091961,6.944444444444445,51524,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,6,0.0,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,6,0.02,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,6,0.04,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,6,0.06,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,6,0.08,baseline,29.745351798541037,28.482648787095705,25.901646038499337,600.0,478.6404840654942,2.709365134665859,21.93648024149467,29.164108328755614,7.713373955450059,10.55,59.730932082731805,2957.5,1367.5,0.0,0.0,15103.29391337976,15292.379095470611,2.7882818184119293,6.09346673374852,8.101141202432116,49172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,8,0.0,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,8,0.02,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,8,0.04,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,8,0.06,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,80,8,0.08,baseline,29.811413304456664,28.544844162416823,25.908689802372464,600.0,473.96541195587014,2.635893910221057,26.367076789774107,36.054516001197754,14.04442924515158,10.55,59.730932082731805,2997.5,1537.5,0.0,0.0,15099.986153083852,15292.379095470611,2.788340457016823,7.3241879971594726,10.015143333666042,47054,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,90,0,0.0,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,90,0,0.02,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,90,0,0.04,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,90,0,0.06,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
10,90,0,0.08,baseline,29.491432779496677,28.262233735475363,25.876581143453052,600.0,503.04518704604635,2.8903363239078317,10.125289217981205,25.0,0.6453247227552598,10.55,59.730932082731805,2727.5,990.0,0.0,0.0,15115.960763785932,15292.379095470611,2.7777777777777795,2.812580338328113,6.944444444444445,56108,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits.",False
